symbol,company_name
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
SHRIRAMFIN,Shriram Finance Limited
MUTHOOTFIN,Muthoot Finance Limited
MANAPPURAM,Manappuram Finance Limited
LICHSGFIN,LIC Housing Finance Limited
LICI,Life Insurance Corporation of India
MCX,Multi Commodity Exchange of India Limited
BSE,BSE Limited
CDSL,Central Depository Services (India) Limited
SKFINDIA,SKF India Limited
AIAENG,AIA Engineering Limited
ASTRAL,Astral Limited
SUPREMEIND,Supreme Industries Limited
KAJARIACER,Kajaria Ceramics Limited
BERGEPAINT,Berger Paints India Limited
CLEAN,Clean Science and Technology Limited
DEEPAKNTR,Deepak Nitrite Limited
ALKEM,Alkem Laboratories Limited
LUPIN,Lupin Limited
GLENMARK,Glenmark Pharmaceuticals Limited
AUROPHARMA,Aurobindo Pharma Limited
BIOCON,Biocon Limited
SYNGENE,Syngene International Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
ZYDUSLIFE,Zydus Lifesciences Limited
PAGEIND,Page Industries Limited
RELAXO,Relaxo Footwears Limited
VIPIND,VIP Industries Limited
SONATSOFTW,Sonata Software Limited
LTIM,LTIMindtree Limited
MPHASIS,Mphasis Limited
PERSISTENT,Persistent Systems Limited
COFORGE,Coforge Limited
OFSS,Oracle Financial Services Software Limited
TATAELXSI,Tata Elxsi Limited
KPITTECH,KPIT Technologies Limited
HAPPSTMNDS,Happiest Minds Technologies Limited
CYIENT,Cyient Limited
BIRLASOFT,Birlasoft Limited
PAYTM,One97 Communications Limited
NAUKRI,Info Edge (India) Limited
INDIAMART,IndiaMART InterMESH Limited
ROUTE,Route Mobile Limited
INTELLECT,Intellect Design Arena Limited
ZEEL,Zee Entertainment Enterprises Limited
SUNTV,Sun TV Network Limited
PVRINOX,PVR INOX Limited
INOXWIND,Inox Wind Limited
SUZLON,Suzlon Energy Limited
GUJGASLTD,Gujarat Gas Limited
APARINDS,APAR Industries Limited
JKCEMENT,JK Cement Limited
COROMANDEL,Coromandel International Limited
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Limited
PIIND,PI Industries Limited
UPL,UPL Limited
BALRAMCHIN,Balrampur Chini Mills Limited
TRIVENI,Triveni Engineering & Industries Limited
RAIN,Rain Industries Limited
GRANULES,Granules India Limited
NATCOPHARM,Natco Pharma Limited
LAURUSLABS,Laurus Labs Limited
